city,year,average,highest
Los Angeles,1/1/2000,344964.2857,1235000
Sacramento,1/1/2000,217214.2857,483000
San Diego,1/1/2000,298285.7143,1010000
San Francisco,1/1/2000,540500,865000
San Jose,1/1/2000,286400,415000
Los Angeles,1/1/2001,346625,680000
Sacramento,1/1/2001,120666.6667,188000
San Diego,1/1/2001,372466.6667,1330000
San Francisco,1/1/2001,590100,837500
San Jose,1/1/2001,633000,725000
Los Angeles,1/1/2002,328711.5385,1050000
Sacramento,1/1/2002,210625,319000
San Diego,1/1/2002,269272.7273,415000
San Francisco,1/1/2002,751083.3333,1550000
San Jose,1/1/2002,594000,775000
Los Angeles,1/1/2003,409184.2105,2000000
Sacramento,1/1/2003,242800,555000
San Diego,1/1/2003,452656.25,1325000
San Francisco,1/1/2003,524812.5,850000
San Jose,1/1/2003,506772.7273,950000
Los Angeles,1/1/2004,557895.8333,1194000
Sacramento,1/1/2004,308000,634000
San Diego,1/1/2004,440833.3333,600000
San Francisco,1/1/2004,630230.7692,996000
San Jose,1/1/2004,582352.9412,1548000
Los Angeles,1/1/2005,734666.6667,1750000
Sacramento,1/1/2005,297250,514500
San Diego,1/1/2005,498718.15,1050000
San Francisco,1/1/2005,785428.5714,1005000
San Jose,1/1/2005,695266.6667,1325000
Los Angeles,1/1/2006,746136.3636,1750000
Sacramento,1/1/2006,488750,680000
San Diego,1/1/2006,472300,860000
San Francisco,1/1/2006,945708.3333,2495000
San Jose,1/1/2006,495785.7143,760000
Los Angeles,1/1/2007,742846.1538,2550000
Sacramento,1/1/2007,312625,610500
San Diego,1/1/2007,528214.2857,856500
San Francisco,1/1/2007,1573291.667,7950000
San Jose,1/1/2007,837166.6667,1845000
Los Angeles,1/1/2008,482287.9565,1600000
Sacramento,1/1/2008,232076.9231,639000
San Diego,1/1/2008,403000,925000
San Francisco,1/1/2008,791545.4545,2613000
San Jose,1/1/2008,604400,902000
Los Angeles,1/1/2009,488935.3478,1350013
Sacramento,1/1/2009,211666.6667,386000
San Diego,1/1/2009,401653.8462,1229000
San Francisco,1/1/2009,764750,1100000
San Jose,1/1/2009,332611.1111,469000
Los Angeles,1/1/2010,795885.6667,5942559
Sacramento,1/1/2010,183166.6667,348000
San Diego,1/1/2010,391233.3333,1000000
San Francisco,1/1/2010,1039428.571,3940000
San Jose,1/1/2010,426833.3333,767500
Los Angeles,1/1/2011,575590.6389,4295042
Sacramento,1/1/2011,155133.3333,430000
San Diego,1/1/2011,377040,1270000
San Francisco,1/1/2011,959500,5950000
San Jose,1/1/2011,513250,850000
Los Angeles,1/1/2012,735778.4444,7050000
Sacramento,1/1/2012,132250,255000
San Diego,1/1/2012,589129.0769,2725000
San Francisco,1/1/2012,843111.1111,2632500
San Jose,1/1/2012,603764.7059,1070000
Los Angeles,1/1/2013,973080.3333,4500000
Sacramento,1/1/2013,287970.5882,579000
San Diego,1/1/2013,547096.8684,1450000
San Francisco,1/1/2013,1152534.483,3628000
San Jose,1/1/2013,715588.2353,1395000
Los Angeles,1/1/2014,893469.5,5125000
Sacramento,1/1/2014,215558.8235,409000
San Diego,1/1/2014,505029.4118,1678500
San Francisco,1/1/2014,990640.6061,2200000
San Jose,1/1/2014,673950,2200000
Los Angeles,1/1/2015,860302.3077,3500000
Sacramento,1/1/2015,244750,382000
San Diego,1/1/2015,586531.25,2480000
San Francisco,1/1/2015,1215270.27,3850000
San Jose,1/1/2015,606888.8889,1345000
Los Angeles,1/1/2016,1097798.701,3850000
Sacramento,1/1/2016,320411.7647,645000
San Diego,1/1/2016,547782.2581,1475000
San Francisco,1/1/2016,1560091,4500000
San Jose,1/1/2016,788300,1567000
Los Angeles,1/1/2017,929050.7229,3100000
Sacramento,1/1/2017,310117.6471,755000
San Diego,1/1/2017,681628.4286,2830000
San Francisco,1/1/2017,1804596.028,8000000
San Jose,1/1/2017,888965.5172,1990000
Los Angeles,1/1/2018,1120436.508,6800000
Sacramento,1/1/2018,363088.8889,774000
San Diego,1/1/2018,577490.9,1450000
San Francisco,1/1/2018,1643195.256,4995000
San Jose,1/1/2018,1340370.37,7600000
Los Angeles,1/1/2019,1120051.724,5460000
Sacramento,1/1/2019,363762.5,775000
San Diego,1/1/2019,615845,1700000
San Francisco,1/1/2019,2200209.091,10700000
San Jose,1/1/2019,839466.9643,3050000
Los Angeles,1/1/2020,801978.0098,13475000
Sacramento,1/1/2020,325364.339,1365000
San Diego,1/1/2020,617537.5116,1756000
San Francisco,1/1/2020,1097222.222,2150000
San Jose,1/1/2020,875825,1495000
